SurfaceIndex,Method,ExecutionTime,numberPoints
46,Z-Buffer,0.0458985,435172
46,Direct Method,29.8992,435172
47,Compute Shader Z-Buffer,0.0004302,435172
47,Z-Buffer,0.044733,435172
47,Direct Method,26.7075,435172
48,Compute Shader Z-Buffer,0.0005416,435172
48,Z-Buffer,0.0462368,435172
48,Direct Method,27.2206,435172
49,Compute Shader Z-Buffer,0.0006173,435172
49,Z-Buffer,0.0446396,435172
49,Direct Method,31.0482,435172
50,Compute Shader Z-Buffer,0.0005009,435172
50,Z-Buffer,0.0466534,435172
50,Direct Method,26.678,435172
51,Compute Shader Z-Buffer,0.0004983,435172
51,Z-Buffer,0.0451731,435172
51,Direct Method,26.7655,435172
52,Compute Shader Z-Buffer,0.0004549,435172
52,Z-Buffer,0.0438405,435172
52,Direct Method,31.4985,435172
53,Compute Shader Z-Buffer,0.0005133,435172
53,Z-Buffer,0.045101,435172
53,Direct Method,30.5256,435172
54,Compute Shader Z-Buffer,0.0004572,435172
54,Z-Buffer,0.0458111,435172
54,Direct Method,28.6424,435172
55,Compute Shader Z-Buffer,0.0006779,435172
55,Z-Buffer,0.0470091,435172
55,Direct Method,31.0584,435172
56,Compute Shader Z-Buffer,0.0004804,435172
56,Z-Buffer,0.0475591,435172
56,Direct Method,30.6564,435172
57,Compute Shader Z-Buffer,0.0005071,435172
57,Z-Buffer,0.0439391,435172
57,Direct Method,30.7115,435172
58,Compute Shader Z-Buffer,0.000546,435172
58,Z-Buffer,0.0450992,435172
58,Direct Method,27.7052,435172
59,Compute Shader Z-Buffer,0.0006353,435172
59,Z-Buffer,0.044479,435172
59,Direct Method,27.1764,435172
60,Compute Shader Z-Buffer,0.0005686,435172
60,Z-Buffer,0.0458006,435172
60,Direct Method,28.1061,435172
61,Compute Shader Z-Buffer,0.0004774,435172
61,Z-Buffer,0.0440441,435172
61,Direct Method,28.1401,435172
62,Compute Shader Z-Buffer,0.0005323,435172
62,Z-Buffer,0.0456102,435172
62,Direct Method,29.4146,435172
63,Compute Shader Z-Buffer,0.0005848,435172
63,Z-Buffer,0.046428,435172
63,Direct Method,30.0621,435172
64,Compute Shader Z-Buffer,0.0006888,435172
64,Z-Buffer,0.0432572,435172
64,Direct Method,28.7582,435172
65,Compute Shader Z-Buffer,0.0006644,435172
65,Z-Buffer,0.0449085,435172
65,Direct Method,28.4452,435172
66,Compute Shader Z-Buffer,0.0005727,435172
66,Z-Buffer,0.0439164,435172
66,Direct Method,28.6375,435172
67,Compute Shader Z-Buffer,0.0004932,435172
67,Z-Buffer,0.044447,435172
67,Direct Method,28.5773,435172
68,Compute Shader Z-Buffer,0.0006126,435172
68,Z-Buffer,0.0461383,435172
68,Direct Method,29.046,435172
69,Compute Shader Z-Buffer,0.0005357,435172
69,Z-Buffer,0.0428208,435172
69,Direct Method,28.7664,435172
70,Compute Shader Z-Buffer,0.0006938,435172
70,Z-Buffer,0.0440081,435172
70,Direct Method,29.2841,435172
71,Compute Shader Z-Buffer,0.0004983,435172
71,Z-Buffer,0.0438283,435172
71,Direct Method,29.2633,435172
72,Compute Shader Z-Buffer,0.0005828,435172
72,Z-Buffer,0.0480704,435172
72,Direct Method,29.9508,435172
73,Compute Shader Z-Buffer,0.0004512,435172
73,Z-Buffer,0.0455293,435172
73,Direct Method,29.3678,435172
74,Compute Shader Z-Buffer,0.000486,435172
74,Z-Buffer,0.043702,435172
74,Direct Method,30.7478,435172
75,Compute Shader Z-Buffer,0.0004372,435172
75,Z-Buffer,0.0464763,435172
75,Direct Method,26.885,435172
76,Compute Shader Z-Buffer,0.0005743,435172
76,Z-Buffer,0.0449428,435172
76,Direct Method,29.1501,435172
77,Compute Shader Z-Buffer,0.0006267,435172
77,Z-Buffer,0.0509246,435172
77,Direct Method,28.5184,435172
78,Compute Shader Z-Buffer,0.0004439,435172
78,Z-Buffer,0.0442298,435172
78,Direct Method,28.9765,435172
79,Compute Shader Z-Buffer,0.0006917,435172
79,Z-Buffer,0.0444107,435172
79,Direct Method,29.7952,435172
80,Compute Shader Z-Buffer,0.0005367,435172
80,Z-Buffer,0.0449448,435172
80,Direct Method,29.7456,435172
81,Compute Shader Z-Buffer,0.000422,435172
81,Z-Buffer,0.0447475,435172
81,Direct Method,33.039,435172
82,Compute Shader Z-Buffer,0.0005082,435172
82,Z-Buffer,0.0458917,435172
82,Direct Method,30.2844,435172
83,Compute Shader Z-Buffer,0.0005232,435172
83,Z-Buffer,0.0460029,435172
83,Direct Method,30.068,435172
84,Compute Shader Z-Buffer,0.0006864,435172
84,Z-Buffer,0.0609591,435172
84,Direct Method,33.4509,435172
85,Compute Shader Z-Buffer,0.0005957,435172
85,Z-Buffer,0.0459911,435172
85,Direct Method,28.4359,435172
86,Compute Shader Z-Buffer,0.0004874,435172
86,Z-Buffer,0.0461753,435172
86,Direct Method,33.9054,435172
87,Compute Shader Z-Buffer,0.000477,435172
87,Z-Buffer,0.0443251,435172
87,Direct Method,31.5695,435172
88,Compute Shader Z-Buffer,0.0006596,435172
88,Z-Buffer,0.0466162,435172
88,Direct Method,29.9286,435172
89,Compute Shader Z-Buffer,0.0005973,435172
89,Z-Buffer,0.0449604,435172
89,Direct Method,30.0722,435172
90,Compute Shader Z-Buffer,0.0007205,435172
90,Z-Buffer,0.0450166,435172
90,Direct Method,29.5788,435172
91,Compute Shader Z-Buffer,0.0004886,435172
91,Z-Buffer,0.0445998,435172
91,Direct Method,29.9661,435172
92,Compute Shader Z-Buffer,0.000502,435172
92,Z-Buffer,0.0447633,435172
92,Direct Method,29.9831,435172
93,Compute Shader Z-Buffer,0.0004905,435172
93,Z-Buffer,0.0448267,435172
93,Direct Method,29.671,435172
94,Compute Shader Z-Buffer,0.0010945,435172
94,Z-Buffer,0.0479567,435172
94,Direct Method,26.1693,435172
95,Compute Shader Z-Buffer,0.0004513,435172
95,Z-Buffer,0.0444784,435172
95,Direct Method,30.5987,435172
