SurfaceIndex,Method,ExecutionTime,numberPoints
443,Compute Shader Z-Buffer,0.0006543,435172
443,Z-Buffer,0.0440786,435172
443,Direct Method,32.88,435172
444,Compute Shader Z-Buffer,0.0005036,435172
444,Z-Buffer,0.0612457,435172
444,Direct Method,32.2499,435172
445,Compute Shader Z-Buffer,0.0005262,435172
445,Z-Buffer,0.0449869,435172
445,Direct Method,32.9794,435172
446,Compute Shader Z-Buffer,0.000444,435172
446,Z-Buffer,0.0465865,435172
446,Direct Method,28.7464,435172
447,Compute Shader Z-Buffer,0.0005758,435172
447,Z-Buffer,0.0435126,435172
447,Direct Method,27.7733,435172
448,Compute Shader Z-Buffer,0.0005034,435172
448,Z-Buffer,0.0504077,435172
448,Direct Method,29.4671,435172
449,Compute Shader Z-Buffer,0.000462,435172
449,Z-Buffer,0.0449105,435172
449,Direct Method,29.061,435172
450,Compute Shader Z-Buffer,0.0008323,435172
450,Z-Buffer,0.0446723,435172
450,Direct Method,27.4903,435172
451,Compute Shader Z-Buffer,0.0004801,435172
451,Z-Buffer,0.0440047,435172
451,Direct Method,30.6177,435172
452,Compute Shader Z-Buffer,0.0004851,435172
452,Z-Buffer,0.0454489,435172
452,Direct Method,28.4067,435172
453,Compute Shader Z-Buffer,0.0005808,435172
453,Z-Buffer,0.0466912,435172
453,Direct Method,32.3404,435172
454,Compute Shader Z-Buffer,0.000562,435172
454,Z-Buffer,0.0447247,435172
454,Direct Method,30.4674,435172
455,Compute Shader Z-Buffer,0.0005981,435172
455,Z-Buffer,0.0530061,435172
455,Direct Method,31.313,435172
456,Compute Shader Z-Buffer,0.0005065,435172
456,Z-Buffer,0.0454818,435172
456,Direct Method,27.8407,435172
457,Compute Shader Z-Buffer,0.0007154,435172
457,Z-Buffer,0.0443159,435172
457,Direct Method,28.5297,435172
458,Compute Shader Z-Buffer,0.0005566,435172
458,Z-Buffer,0.0456987,435172
458,Direct Method,25.9765,435172
459,Compute Shader Z-Buffer,0.0005791,435172
459,Z-Buffer,0.0481025,435172
459,Direct Method,29.5929,435172
460,Compute Shader Z-Buffer,0.0004994,435172
460,Z-Buffer,0.0485156,435172
460,Direct Method,31.7208,435172
461,Compute Shader Z-Buffer,0.0005653,435172
461,Z-Buffer,0.0450411,435172
461,Direct Method,31.3141,435172
462,Compute Shader Z-Buffer,0.0005008,435172
462,Z-Buffer,0.0448427,435172
462,Direct Method,26.7428,435172
463,Compute Shader Z-Buffer,0.0009437,435172
463,Z-Buffer,0.0459424,435172
463,Direct Method,29.818,435172
464,Compute Shader Z-Buffer,0.0005208,435172
464,Z-Buffer,0.0550624,435172
464,Direct Method,28.5215,435172
465,Compute Shader Z-Buffer,0.000475,435172
465,Z-Buffer,0.0442848,435172
465,Direct Method,31.4119,435172
466,Compute Shader Z-Buffer,0.0007381,435172
466,Z-Buffer,0.0441994,435172
466,Direct Method,31.6943,435172
467,Compute Shader Z-Buffer,0.0005305,435172
467,Z-Buffer,0.0446336,435172
467,Direct Method,29.4624,435172
468,Compute Shader Z-Buffer,0.0006457,435172
468,Z-Buffer,0.0438063,435172
468,Direct Method,28.1348,435172
469,Compute Shader Z-Buffer,0.000457,435172
469,Z-Buffer,0.0456596,435172
469,Direct Method,28.8868,435172
470,Compute Shader Z-Buffer,0.0004917,435172
470,Z-Buffer,0.044237,435172
470,Direct Method,28.8297,435172
471,Compute Shader Z-Buffer,0.000615,435172
471,Z-Buffer,0.047951,435172
471,Direct Method,27.8144,435172
472,Compute Shader Z-Buffer,0.0006153,435172
472,Z-Buffer,0.0483648,435172
472,Direct Method,31.169,435172
473,Compute Shader Z-Buffer,0.0006679,435172
473,Z-Buffer,0.0485601,435172
473,Direct Method,28.3677,435172
474,Compute Shader Z-Buffer,0.0005274,435172
474,Z-Buffer,0.0523008,435172
474,Direct Method,31.6706,435172
475,Compute Shader Z-Buffer,0.0004138,435172
475,Z-Buffer,0.0456756,435172
475,Direct Method,30.0395,435172
476,Compute Shader Z-Buffer,0.0006397,435172
476,Z-Buffer,0.0467251,435172
476,Direct Method,30.6851,435172
477,Compute Shader Z-Buffer,0.0006176,435172
477,Z-Buffer,0.0427913,435172
477,Direct Method,27.728,435172
478,Compute Shader Z-Buffer,0.0004204,435172
478,Z-Buffer,0.045649,435172
478,Direct Method,28.4503,435172
479,Compute Shader Z-Buffer,0.0004957,435172
479,Z-Buffer,0.045645,435172
479,Direct Method,26.0576,435172
480,Compute Shader Z-Buffer,0.000512,435172
480,Z-Buffer,0.0436962,435172
480,Direct Method,29.556,435172
481,Compute Shader Z-Buffer,0.0004446,435172
481,Z-Buffer,0.0436194,435172
481,Direct Method,31.4124,435172
482,Compute Shader Z-Buffer,0.0004984,435172
482,Z-Buffer,0.0460755,435172
482,Direct Method,30.9238,435172
483,Compute Shader Z-Buffer,0.0007404,435172
483,Z-Buffer,0.0466012,435172
483,Direct Method,27.0692,435172
484,Compute Shader Z-Buffer,0.0004388,435172
484,Z-Buffer,0.0465394,435172
484,Direct Method,30.1455,435172
485,Compute Shader Z-Buffer,0.0005219,435172
485,Z-Buffer,0.0483614,435172
485,Direct Method,27.3516,435172
486,Compute Shader Z-Buffer,0.0004992,435172
486,Z-Buffer,0.0494547,435172
486,Direct Method,31.6946,435172
487,Compute Shader Z-Buffer,0.0005041,435172
487,Z-Buffer,0.045108,435172
487,Direct Method,29.1586,435172
488,Compute Shader Z-Buffer,0.0004492,435172
488,Z-Buffer,0.0448673,435172
488,Direct Method,31.0361,435172
489,Compute Shader Z-Buffer,0.0004872,435172
489,Z-Buffer,0.0448376,435172
489,Direct Method,28.3199,435172
490,Compute Shader Z-Buffer,0.0005238,435172
490,Z-Buffer,0.0442391,435172
490,Direct Method,26.4904,435172
491,Compute Shader Z-Buffer,0.0004278,435172
491,Z-Buffer,0.0458742,435172
491,Direct Method,28.1782,435172
492,Compute Shader Z-Buffer,0.0005536,435172
492,Z-Buffer,0.0452298,435172
492,Direct Method,28.9282,435172
493,Compute Shader Z-Buffer,0.0005717,435172
493,Z-Buffer,0.0482512,435172
493,Direct Method,31.5218,435172
494,Compute Shader Z-Buffer,0.0005135,435172
494,Z-Buffer,0.0464803,435172
494,Direct Method,31.0712,435172
495,Compute Shader Z-Buffer,0.000443,435172
495,Z-Buffer,0.0453406,435172
495,Direct Method,29.0064,435172
496,Compute Shader Z-Buffer,0.0004541,435172
496,Z-Buffer,0.0445188,435172
496,Direct Method,26.1115,435172
497,Compute Shader Z-Buffer,0.0005863,435172
497,Z-Buffer,0.0460456,435172
497,Direct Method,28.4094,435172
498,Compute Shader Z-Buffer,0.0072596,435172
498,Z-Buffer,0.0477101,435172
498,Direct Method,34.2159,435172
499,Compute Shader Z-Buffer,0.0007098,435172
499,Z-Buffer,0.0584049,435172
499,Direct Method,30.8536,435172
500,Compute Shader Z-Buffer,0.0007179,435172
500,Z-Buffer,0.0506485,435172
500,Direct Method,33.3344,435172
501,Compute Shader Z-Buffer,0.0005413,435172
501,Z-Buffer,0.0512771,435172
501,Direct Method,31.6917,435172
502,Compute Shader Z-Buffer,0.0005143,435172
502,Z-Buffer,0.0437952,435172
502,Direct Method,27.6494,435172
503,Compute Shader Z-Buffer,0.0004848,435172
503,Z-Buffer,0.0469454,435172
503,Direct Method,27.9752,435172
504,Compute Shader Z-Buffer,0.0006184,435172
504,Z-Buffer,0.0461366,435172
504,Direct Method,36.8703,435172
505,Compute Shader Z-Buffer,0.0006468,435172
505,Z-Buffer,0.0484384,435172
505,Direct Method,29.439,435172
506,Compute Shader Z-Buffer,0.0006108,435172
506,Z-Buffer,0.0523181,435172
506,Direct Method,31.4317,435172
507,Compute Shader Z-Buffer,0.0004586,435172
507,Z-Buffer,0.048511,435172
507,Direct Method,32.7748,435172
508,Compute Shader Z-Buffer,0.0007152,435172
508,Z-Buffer,0.0513621,435172
508,Direct Method,30.9188,435172
509,Compute Shader Z-Buffer,0.0005912,435172
509,Z-Buffer,0.0509316,435172
509,Direct Method,36.0473,435172
510,Compute Shader Z-Buffer,0.0006104,435172
510,Z-Buffer,0.0631354,435172
510,Direct Method,31.0695,435172
511,Compute Shader Z-Buffer,0.0005291,435172
511,Z-Buffer,0.0455066,435172
511,Direct Method,29.9628,435172
512,Compute Shader Z-Buffer,0.0006907,435172
512,Z-Buffer,0.0468203,435172
512,Direct Method,28.8494,435172
513,Compute Shader Z-Buffer,0.0007815,435172
513,Z-Buffer,0.0464753,435172
513,Direct Method,31.0146,435172
514,Compute Shader Z-Buffer,0.0007391,435172
514,Z-Buffer,0.0579376,435172
514,Direct Method,36.7539,435172
515,Compute Shader Z-Buffer,0.0007442,435172
515,Z-Buffer,0.0512984,435172
515,Direct Method,31.4435,435172
516,Compute Shader Z-Buffer,0.0005176,435172
516,Z-Buffer,0.0448916,435172
516,Direct Method,27.2589,435172
517,Compute Shader Z-Buffer,0.0005155,435172
517,Z-Buffer,0.044467,435172
517,Direct Method,28.8757,435172
518,Compute Shader Z-Buffer,0.0006019,435172
518,Z-Buffer,0.0478796,435172
518,Direct Method,31.2862,435172
519,Compute Shader Z-Buffer,0.0004261,435172
519,Z-Buffer,0.0483809,435172
519,Direct Method,26.6981,435172
520,Compute Shader Z-Buffer,0.0007361,435172
520,Z-Buffer,0.0565769,435172
520,Direct Method,35.3392,435172
521,Compute Shader Z-Buffer,0.0005792,435172
521,Z-Buffer,0.0539071,435172
521,Direct Method,29.8884,435172
522,Compute Shader Z-Buffer,0.0005534,435172
522,Z-Buffer,0.0504688,435172
522,Direct Method,28.0886,435172
523,Compute Shader Z-Buffer,0.0006414,435172
523,Z-Buffer,0.0500745,435172
523,Direct Method,31.1333,435172
524,Compute Shader Z-Buffer,0.0005406,435172
524,Z-Buffer,0.0503286,435172
524,Direct Method,30.3483,435172
525,Compute Shader Z-Buffer,0.0005375,435172
525,Z-Buffer,0.0459035,435172
525,Direct Method,33.5784,435172
526,Compute Shader Z-Buffer,0.0004343,435172
526,Z-Buffer,0.0466135,435172
526,Direct Method,28.7016,435172
527,Compute Shader Z-Buffer,0.0007253,435172
527,Z-Buffer,0.0461699,435172
527,Direct Method,31.006,435172
528,Compute Shader Z-Buffer,0.0005286,435172
528,Z-Buffer,0.0447981,435172
528,Direct Method,30.184,435172
529,Compute Shader Z-Buffer,0.0006082,435172
529,Z-Buffer,0.0483308,435172
529,Direct Method,32.0428,435172
530,Compute Shader Z-Buffer,0.0006093,435172
530,Z-Buffer,0.0461244,435172
530,Direct Method,30.1983,435172
531,Compute Shader Z-Buffer,0.0006356,435172
531,Z-Buffer,0.0476972,435172
531,Direct Method,27.9243,435172
532,Compute Shader Z-Buffer,0.0004466,435172
532,Z-Buffer,0.0470615,435172
532,Direct Method,29.7125,435172
533,Compute Shader Z-Buffer,0.0005176,435172
533,Z-Buffer,0.0494008,435172
533,Direct Method,30.2087,435172
534,Compute Shader Z-Buffer,0.0006391,435172
534,Z-Buffer,0.0527714,435172
534,Direct Method,28.4266,435172
535,Compute Shader Z-Buffer,0.0005882,435172
535,Z-Buffer,0.0462966,435172
535,Direct Method,30.6167,435172
536,Compute Shader Z-Buffer,0.0004359,435172
536,Z-Buffer,0.0467311,435172
536,Direct Method,31.7076,435172
537,Compute Shader Z-Buffer,0.0006724,435172
537,Z-Buffer,0.0460428,435172
537,Direct Method,29.9954,435172
538,Compute Shader Z-Buffer,0.0005801,435172
538,Z-Buffer,0.0463428,435172
538,Direct Method,33.7272,435172
539,Compute Shader Z-Buffer,0.0007651,435172
539,Z-Buffer,0.0522221,435172
539,Direct Method,30.1717,435172
540,Compute Shader Z-Buffer,0.000737,435172
540,Z-Buffer,0.048986,435172
540,Direct Method,32.5253,435172
541,Compute Shader Z-Buffer,0.0005756,435172
541,Z-Buffer,0.0452328,435172
541,Direct Method,29.9707,435172
542,Compute Shader Z-Buffer,0.000411,435172
542,Z-Buffer,0.0479926,435172
542,Direct Method,31.6234,435172
543,Compute Shader Z-Buffer,0.0005444,435172
543,Z-Buffer,0.0479232,435172
543,Direct Method,32.4537,435172
544,Compute Shader Z-Buffer,0.0006425,435172
544,Z-Buffer,0.0458225,435172
544,Direct Method,32.2042,435172
545,Compute Shader Z-Buffer,0.0004127,435172
545,Z-Buffer,0.0499239,435172
545,Direct Method,28.5979,435172
546,Compute Shader Z-Buffer,0.0005971,435172
546,Z-Buffer,0.0497207,435172
546,Direct Method,30.5148,435172
547,Compute Shader Z-Buffer,0.0006513,435172
547,Z-Buffer,0.0482854,435172
547,Direct Method,31.8314,435172
548,Compute Shader Z-Buffer,0.0006254,435172
548,Z-Buffer,0.0453727,435172
548,Direct Method,29.5149,435172
549,Compute Shader Z-Buffer,0.0004214,435172
549,Z-Buffer,0.0454559,435172
549,Direct Method,28.0551,435172
550,Compute Shader Z-Buffer,0.0006381,435172
550,Z-Buffer,0.0484698,435172
550,Direct Method,30.808,435172
551,Compute Shader Z-Buffer,0.0005657,435172
551,Z-Buffer,0.0458463,435172
551,Direct Method,33.2754,435172
552,Compute Shader Z-Buffer,0.0005985,435172
552,Z-Buffer,0.0491453,435172
552,Direct Method,31.7611,435172
553,Compute Shader Z-Buffer,0.0004748,435172
553,Z-Buffer,0.0482636,435172
553,Direct Method,30.4163,435172
554,Compute Shader Z-Buffer,0.0005792,435172
554,Z-Buffer,0.0474892,435172
554,Direct Method,30.691,435172
555,Compute Shader Z-Buffer,0.0004869,435172
555,Z-Buffer,0.0470732,435172
555,Direct Method,31.0289,435172
556,Compute Shader Z-Buffer,0.0005904,435172
556,Z-Buffer,0.0478672,435172
556,Direct Method,30.0958,435172
557,Compute Shader Z-Buffer,0.000584,435172
557,Z-Buffer,0.0457592,435172
557,Direct Method,31.6864,435172
558,Compute Shader Z-Buffer,0.0005973,435172
558,Z-Buffer,0.0509454,435172
558,Direct Method,34.0937,435172
559,Compute Shader Z-Buffer,0.0006073,435172
559,Z-Buffer,0.0470873,435172
559,Direct Method,33.7211,435172
560,Compute Shader Z-Buffer,0.0006338,435172
560,Z-Buffer,0.0489169,435172
560,Direct Method,33.0666,435172
561,Compute Shader Z-Buffer,0.0004588,435172
561,Z-Buffer,0.0475567,435172
561,Direct Method,28.8018,435172
562,Compute Shader Z-Buffer,0.0004208,435172
562,Z-Buffer,0.046835,435172
562,Direct Method,29.6492,435172
563,Compute Shader Z-Buffer,0.0003949,435172
563,Z-Buffer,0.0452149,435172
563,Direct Method,29.3399,435172
564,Compute Shader Z-Buffer,0.0005071,435172
564,Z-Buffer,0.0450416,435172
564,Direct Method,29.0897,435172
565,Compute Shader Z-Buffer,0.0004134,435172
565,Z-Buffer,0.0458368,435172
565,Direct Method,30.435,435172
566,Compute Shader Z-Buffer,0.0005842,435172
566,Z-Buffer,0.0446257,435172
566,Direct Method,29.4566,435172
567,Compute Shader Z-Buffer,0.0006602,435172
567,Z-Buffer,0.0502339,435172
567,Direct Method,29.5738,435172
568,Compute Shader Z-Buffer,0.0005039,435172
568,Z-Buffer,0.0452212,435172
568,Direct Method,28.5323,435172
569,Compute Shader Z-Buffer,0.0006241,435172
569,Z-Buffer,0.0453824,435172
569,Direct Method,28.9492,435172
570,Compute Shader Z-Buffer,0.0005814,435172
570,Z-Buffer,0.0446723,435172
570,Direct Method,27.0604,435172
571,Compute Shader Z-Buffer,0.0006749,435172
571,Z-Buffer,0.0517022,435172
571,Direct Method,29.8835,435172
572,Compute Shader Z-Buffer,0.0005058,435172
572,Z-Buffer,0.0454409,435172
572,Direct Method,30.4955,435172
573,Compute Shader Z-Buffer,0.0004693,435172
573,Z-Buffer,0.0450118,435172
573,Direct Method,29.5761,435172
574,Compute Shader Z-Buffer,0.0005415,435172
574,Z-Buffer,0.0460155,435172
574,Direct Method,31.1807,435172
575,Compute Shader Z-Buffer,0.0005797,435172
575,Z-Buffer,0.0444618,435172
575,Direct Method,29.6565,435172
576,Compute Shader Z-Buffer,0.0006805,435172
576,Z-Buffer,0.0494745,435172
576,Direct Method,27.1563,435172
577,Compute Shader Z-Buffer,0.0005859,435172
577,Z-Buffer,0.0458725,435172
577,Direct Method,26.5676,435172
578,Compute Shader Z-Buffer,0.0006565,435172
578,Z-Buffer,0.053774,435172
578,Direct Method,27.8484,435172
579,Compute Shader Z-Buffer,0.0005623,435172
579,Z-Buffer,0.044917,435172
579,Direct Method,29.439,435172
580,Compute Shader Z-Buffer,0.0005148,435172
580,Z-Buffer,0.0451504,435172
580,Direct Method,30.1888,435172
581,Compute Shader Z-Buffer,0.0004955,435172
581,Z-Buffer,0.0449552,435172
581,Direct Method,27.8359,435172
582,Compute Shader Z-Buffer,0.0005668,435172
582,Z-Buffer,0.0451537,435172
582,Direct Method,30.0789,435172
583,Compute Shader Z-Buffer,0.000469,435172
583,Z-Buffer,0.0479943,435172
583,Direct Method,29.5107,435172
584,Compute Shader Z-Buffer,0.0006028,435172
584,Z-Buffer,0.0457875,435172
584,Direct Method,30.1555,435172
585,Compute Shader Z-Buffer,0.0006345,435172
585,Z-Buffer,0.0455914,435172
585,Direct Method,27.6344,435172
586,Compute Shader Z-Buffer,0.0005043,435172
586,Z-Buffer,0.0482412,435172
586,Direct Method,30.4856,435172
587,Compute Shader Z-Buffer,0.0004287,435172
587,Z-Buffer,0.0449022,435172
587,Direct Method,30.8333,435172
588,Compute Shader Z-Buffer,0.0004184,435172
588,Z-Buffer,0.0469386,435172
588,Direct Method,33.6813,435172
589,Compute Shader Z-Buffer,0.0004036,435172
589,Z-Buffer,0.0447426,435172
589,Direct Method,31.1587,435172
590,Compute Shader Z-Buffer,0.0004607,435172
590,Z-Buffer,0.044591,435172
590,Direct Method,30.5402,435172
591,Compute Shader Z-Buffer,0.0005551,435172
591,Z-Buffer,0.0440673,435172
591,Direct Method,30.433,435172
592,Compute Shader Z-Buffer,0.0006562,435172
592,Z-Buffer,0.0490103,435172
592,Direct Method,29.489,435172
593,Compute Shader Z-Buffer,0.0003794,435172
593,Z-Buffer,0.0437732,435172
593,Direct Method,33.0449,435172
594,Compute Shader Z-Buffer,0.0006887,435172
594,Z-Buffer,0.0436788,435172
594,Direct Method,31.9205,435172
595,Compute Shader Z-Buffer,0.0006153,435172
595,Z-Buffer,0.0464715,435172
595,Direct Method,30.3029,435172
596,Compute Shader Z-Buffer,0.0006438,435172
596,Z-Buffer,0.0466327,435172
596,Direct Method,31.2971,435172
597,Compute Shader Z-Buffer,0.0005316,435172
597,Z-Buffer,0.046043,435172
597,Direct Method,27.8885,435172
598,Compute Shader Z-Buffer,0.0005318,435172
598,Z-Buffer,0.04647,435172
598,Direct Method,32.4795,435172
599,Compute Shader Z-Buffer,0.00063,435172
599,Z-Buffer,0.0453842,435172
599,Direct Method,30.4592,435172
600,Compute Shader Z-Buffer,0.0005938,435172
600,Z-Buffer,0.0441439,435172
600,Direct Method,29.6008,435172
601,Compute Shader Z-Buffer,0.0005487,435172
601,Z-Buffer,0.0450357,435172
601,Direct Method,27.4696,435172
602,Compute Shader Z-Buffer,0.0004221,435172
602,Z-Buffer,0.0439629,435172
602,Direct Method,28.3683,435172
603,Compute Shader Z-Buffer,0.0007135,435172
603,Z-Buffer,0.0451391,435172
603,Direct Method,31.5049,435172
604,Compute Shader Z-Buffer,0.0004917,435172
604,Z-Buffer,0.0503257,435172
604,Direct Method,29.8098,435172
605,Compute Shader Z-Buffer,0.0005096,435172
605,Z-Buffer,0.0469942,435172
605,Direct Method,30.7595,435172
606,Compute Shader Z-Buffer,0.0005457,435172
606,Z-Buffer,0.0442182,435172
606,Direct Method,30.7089,435172
607,Compute Shader Z-Buffer,0.0004924,435172
607,Z-Buffer,0.0432252,435172
607,Direct Method,28.6598,435172
608,Compute Shader Z-Buffer,0.0004248,435172
608,Z-Buffer,0.0438221,435172
608,Direct Method,29.4085,435172
609,Compute Shader Z-Buffer,0.0005892,435172
609,Z-Buffer,0.0468797,435172
609,Direct Method,30.0819,435172
610,Compute Shader Z-Buffer,0.0005295,435172
610,Z-Buffer,0.043898,435172
610,Direct Method,29.5952,435172
611,Compute Shader Z-Buffer,0.0005617,435172
611,Z-Buffer,0.0437171,435172
611,Direct Method,29.6034,435172
612,Compute Shader Z-Buffer,0.0005785,435172
612,Z-Buffer,0.0436586,435172
612,Direct Method,29.416,435172
613,Compute Shader Z-Buffer,0.0004628,435172
613,Z-Buffer,0.0483864,435172
613,Direct Method,29.9318,435172
614,Compute Shader Z-Buffer,0.0004677,435172
614,Z-Buffer,0.0495028,435172
614,Direct Method,30.2395,435172
615,Compute Shader Z-Buffer,0.0004202,435172
615,Z-Buffer,0.0435995,435172
615,Direct Method,29.0079,435172
616,Compute Shader Z-Buffer,0.0006041,435172
616,Z-Buffer,0.0441948,435172
616,Direct Method,29.4885,435172
617,Compute Shader Z-Buffer,0.000431,435172
617,Z-Buffer,0.0454893,435172
617,Direct Method,31.8659,435172
618,Compute Shader Z-Buffer,0.0006032,435172
618,Z-Buffer,0.0451857,435172
618,Direct Method,33.6425,435172
619,Compute Shader Z-Buffer,0.0012818,435172
619,Z-Buffer,0.0431713,435172
619,Direct Method,26.7932,435172
620,Compute Shader Z-Buffer,0.0008799,435172
620,Z-Buffer,0.0434381,435172
620,Direct Method,30.4981,435172
621,Compute Shader Z-Buffer,0.0005228,435172
621,Z-Buffer,0.0436821,435172
621,Direct Method,27.075,435172
622,Compute Shader Z-Buffer,0.0005738,435172
622,Z-Buffer,0.0439461,435172
622,Direct Method,28.2182,435172
623,Compute Shader Z-Buffer,0.0006473,435172
623,Z-Buffer,0.0455782,435172
623,Direct Method,32.8022,435172
624,Compute Shader Z-Buffer,0.0005179,435172
624,Z-Buffer,0.0433097,435172
624,Direct Method,33.142,435172
625,Compute Shader Z-Buffer,0.0006644,435172
625,Z-Buffer,0.0453747,435172
625,Direct Method,32.9565,435172
626,Compute Shader Z-Buffer,0.0004688,435172
626,Z-Buffer,0.0440801,435172
626,Direct Method,33.5191,435172
627,Compute Shader Z-Buffer,0.0005491,435172
627,Z-Buffer,0.0455481,435172
627,Direct Method,29.0085,435172
628,Compute Shader Z-Buffer,0.0006275,435172
628,Z-Buffer,0.0465679,435172
628,Direct Method,31.1321,435172
629,Compute Shader Z-Buffer,0.000532,435172
629,Z-Buffer,0.0470199,435172
629,Direct Method,29.2735,435172
630,Compute Shader Z-Buffer,0.0005473,435172
630,Z-Buffer,0.0486502,435172
630,Direct Method,31.2497,435172
631,Compute Shader Z-Buffer,0.0004418,435172
631,Z-Buffer,0.0458487,435172
631,Direct Method,31.4351,435172
632,Compute Shader Z-Buffer,0.0006045,435172
632,Z-Buffer,0.0460114,435172
632,Direct Method,27.8588,435172
633,Compute Shader Z-Buffer,0.0005468,435172
633,Z-Buffer,0.0450064,435172
633,Direct Method,30.9756,435172
634,Compute Shader Z-Buffer,0.0006116,435172
634,Z-Buffer,0.0434426,435172
634,Direct Method,27.5323,435172
635,Compute Shader Z-Buffer,0.0006262,435172
635,Z-Buffer,0.0466935,435172
635,Direct Method,27.2996,435172
636,Compute Shader Z-Buffer,0.0004368,435172
636,Z-Buffer,0.0431363,435172
636,Direct Method,30.1928,435172
637,Compute Shader Z-Buffer,0.0004334,435172
637,Z-Buffer,0.0505793,435172
637,Direct Method,27.2241,435172
638,Compute Shader Z-Buffer,0.0004541,435172
638,Z-Buffer,0.043316,435172
638,Direct Method,29.81,435172
639,Compute Shader Z-Buffer,0.0005484,435172
639,Z-Buffer,0.0481048,435172
639,Direct Method,25.6223,435172
640,Compute Shader Z-Buffer,0.0004729,435172
640,Z-Buffer,0.0471997,435172
640,Direct Method,29.6047,435172
641,Compute Shader Z-Buffer,0.0005716,435172
641,Z-Buffer,0.0433246,435172
641,Direct Method,25.5714,435172
642,Compute Shader Z-Buffer,0.0006137,435172
642,Z-Buffer,0.0453545,435172
642,Direct Method,26.9983,435172
643,Compute Shader Z-Buffer,0.0004911,435172
643,Z-Buffer,0.0462549,435172
643,Direct Method,25.4033,435172
644,Compute Shader Z-Buffer,0.0004273,435172
644,Z-Buffer,0.045883,435172
644,Direct Method,30.4364,435172
645,Compute Shader Z-Buffer,0.0006949,435172
645,Z-Buffer,0.0430524,435172
645,Direct Method,25.1211,435172
646,Compute Shader Z-Buffer,0.0004713,435172
646,Z-Buffer,0.0445056,435172
646,Direct Method,26.5447,435172
647,Compute Shader Z-Buffer,0.000463,435172
647,Z-Buffer,0.044904,435172
647,Direct Method,23.7409,435172
648,Compute Shader Z-Buffer,0.0006569,435172
648,Z-Buffer,0.0477181,435172
648,Direct Method,26.5158,435172
649,Compute Shader Z-Buffer,0.0004988,435172
649,Z-Buffer,0.0437724,435172
649,Direct Method,30.7983,435172
650,Compute Shader Z-Buffer,0.0004302,435172
650,Z-Buffer,0.0428918,435172
650,Direct Method,29.2167,435172
651,Compute Shader Z-Buffer,0.0004793,435172
651,Z-Buffer,0.044821,435172
651,Direct Method,32.4523,435172
652,Compute Shader Z-Buffer,0.0005639,435172
652,Z-Buffer,0.0466609,435172
652,Direct Method,32.3465,435172
653,Compute Shader Z-Buffer,0.0004936,435172
653,Z-Buffer,0.0431555,435172
653,Direct Method,32.5011,435172
654,Compute Shader Z-Buffer,0.0004335,435172
654,Z-Buffer,0.0446116,435172
654,Direct Method,27.7803,435172
655,Compute Shader Z-Buffer,0.000422,435172
655,Z-Buffer,0.0445276,435172
655,Direct Method,30.4088,435172
656,Compute Shader Z-Buffer,0.0005597,435172
656,Z-Buffer,0.047717,435172
656,Direct Method,28.357,435172
657,Compute Shader Z-Buffer,0.000503,435172
657,Z-Buffer,0.0446508,435172
657,Direct Method,28.4959,435172
658,Compute Shader Z-Buffer,0.0004304,435172
658,Z-Buffer,0.0452702,435172
658,Direct Method,28.9239,435172
659,Compute Shader Z-Buffer,0.0005362,435172
659,Z-Buffer,0.0453604,435172
659,Direct Method,27.4864,435172
660,Compute Shader Z-Buffer,0.0005635,435172
660,Z-Buffer,0.0465267,435172
660,Direct Method,29.9284,435172
661,Compute Shader Z-Buffer,0.0005093,435172
661,Z-Buffer,0.0439081,435172
661,Direct Method,31.7147,435172
662,Compute Shader Z-Buffer,0.0004219,435172
662,Z-Buffer,0.0506482,435172
662,Direct Method,29.4097,435172
663,Compute Shader Z-Buffer,0.0006258,435172
663,Z-Buffer,0.0456239,435172
663,Direct Method,30.0161,435172
664,Compute Shader Z-Buffer,0.0004243,435172
664,Z-Buffer,0.0460724,435172
664,Direct Method,28.4316,435172
665,Compute Shader Z-Buffer,0.0006011,435172
665,Z-Buffer,0.0443699,435172
665,Direct Method,29.695,435172
666,Compute Shader Z-Buffer,0.0005448,435172
666,Z-Buffer,0.0434359,435172
666,Direct Method,26.9285,435172
667,Compute Shader Z-Buffer,0.0004497,435172
667,Z-Buffer,0.0420702,435172
667,Direct Method,28.9563,435172
668,Compute Shader Z-Buffer,0.0004791,435172
668,Z-Buffer,0.0473258,435172
668,Direct Method,29.2523,435172
669,Compute Shader Z-Buffer,0.0004307,435172
669,Z-Buffer,0.047105,435172
669,Direct Method,29.177,435172
670,Compute Shader Z-Buffer,0.000504,435172
670,Z-Buffer,0.0438347,435172
670,Direct Method,28.0742,435172
671,Compute Shader Z-Buffer,0.0005596,435172
671,Z-Buffer,0.0432012,435172
671,Direct Method,27.7568,435172
672,Compute Shader Z-Buffer,0.0004365,435172
672,Z-Buffer,0.0431007,435172
672,Direct Method,30.5934,435172
673,Compute Shader Z-Buffer,0.0004955,435172
673,Z-Buffer,0.042168,435172
673,Direct Method,30.1144,435172
674,Compute Shader Z-Buffer,0.0005361,435172
674,Z-Buffer,0.0431679,435172
674,Direct Method,31.4493,435172
675,Compute Shader Z-Buffer,0.0004381,435172
675,Z-Buffer,0.0439564,435172
675,Direct Method,25.898,435172
676,Compute Shader Z-Buffer,0.0005563,435172
676,Z-Buffer,0.0429641,435172
